title,tags
xXx,"xander cage is your standard adrenaline junkie with no fear and a lousy attitude. when the us government ""recruits"" him to go on a mission, he's not exactly thrilled. his mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic yorgi. action adventure thriller sports car biological weapon cold war russian prague mission athlete nsa agent adrenaline junkie thrill seeker vin diesel asia argento samuel l. jackson rob cohen"
The SpongeBob Movie: Sponge Out of Water,"burger beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true, which happens to be the krabby patty secret formula. when the entire city of bikini bottom is put in danger, spongebob, patrick, mr. krabs, squidward, sandy, and plankton need to go on a quest that takes them to the surface. in order to get back the recipe and save their city, the gang must retrieve the book and transform themselves into superheroes. animation adventure comedy family ocean sea star water comedy sponge spongebob live action and animation tom kenny bill fagerbakke rodger bumpass paul tibbitt"
Ransom,"when a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals. action thriller bounty loss of child yellow press fbi baby-snatching suspense fbi agent millionaire mel gibson gary sinise delroy lindo ron howard"
Inglourious Basterds,"in nazi-occupied france during world war ii, a group of jewish-american soldiers known as ""the basterds"" are chosen specifically to spread fear throughout the third reich by scalping and brutally killing nazis. the basterds, lead by lt. aldo raine soon cross paths with a french-jewish teenage girl who runs a movie theater in paris which is targeted by the soldiers. drama action thriller war paris guerrilla cinema self sacrifice dynamite mexican standoff world war ii jew persecution jew nazis masochism sadism scalp winston churchill knife in hand anti semitism gore swastika blood bath german occupation of france violence gun violence brad pitt mélanie laurent christoph waltz quentin tarantino"
Hook,"the boy who wasn't supposed to grow up—peter pan—did just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. but a trip to see granny wendy in london, where the vengeful capt. hook kidnaps peter's kids and forces peter to return to neverland, could lead to a chance at redemption, in this family-oriented fantasy from director steven spielberg. adventure fantasy comedy family flying swordplay sword fantasy peter pan daughter fairy-tale figure rescue robin williams dustin hoffman julia roberts steven spielberg"
Die Hard 2,"john mcclane is an off-duty cop gripped with a feeling of déjà vu when on a snowy christmas eve in the nation's capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: mcclane's smart-mouthed heroics. action thriller ambush helicopter journalist based on novel airport hand grenade fistfight cop sequel snow dulles international airport shootout officer involved shooting terrorism explosion church violence sabotage walkie talkie swat team air traffic control commando unit snowmobile bruce willis bonnie bedelia william atherton renny harlin"
S.W.A.T.,"hondo harrelson recruits jim street to join an elite unit of the los angeles police department. together they seek out more members, including tough deke kay and single mom chris sanchez. the team's first big assignment is to escort crime boss alex montel to prison. it seems routine, but when montel offers a huge reward to anyone who can break him free, criminals of various stripes step up for the prize. action thriller crime liberation transport of prisoners special unit weapon los angeles samuel l. jackson colin farrell michelle rodriguez clark johnson"
Vanilla Sky,"david aames (tom cruise) has it all: wealth, good looks and gorgeous women on his arm. but just as he begins falling for the warmhearted sofia (penelope cruz), his face is horribly disfigured in a car accident. that's just the beginning of his troubles as the lines between illusion and reality, between life and death, are blurred. drama mystery romance science fiction thriller amnesia ex-girlfriend virtual reality tom cruise penélope cruz cameron diaz cameron crowe"
Lady in the Water,"apartment building superintendent cleveland heep rescues what he thinks is a young woman from the pool he maintains. when he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world. drama thriller fantasy mystery fortune teller religion and supernatural supernatural powers mythical creature hell swimming pool nixe aftercreditsstinger paul giamatti jeffrey wright bob balaban m. night shyamalan"
AVP: Alien vs. Predator,"when scientists discover something in the arctic that appears to be a buried pyramid, they send a research team out to investigate. little do they know that they are about to step into a hunting ground where aliens are grown as sport for the predator race. adventure science fiction action saving the world predator laserpointer space marine pyramid praise alien xenomorph sanaa lathan raoul bova ewen bremner paul w.s. anderson"
Alvin and the Chipmunks: The Squeakquel,"pop sensations alvin, simon and theodore end up in the care of dave seville's twenty-something nephew toby. the boys must put aside music super stardom to return to school, and are tasked with saving the school's music program by winning the $25,000 prize in a battle of the bands. but the chipmunks unexpectedly meet their match in three singing chipmunks known as the chipettes - brittany, eleanor and jeanette. romantic and musical sparks are ignited when the chipmunks and chipettes square off. comedy family animation fantasy music chipmunk cgi based on tv series aftercreditsstinger duringcreditsstinger woman director zachary levi david cross jason lee betty thomas"
We Were Soldiers,the story of the first major battle of the american phase of the vietnam war and the soldiers on both sides that fought it. action history war vietnam veteran missile vietnam war army major based on true story steel helmet soldier explosion battle bayonet death vietnamese mel gibson greg kinnear madeleine stowe randall wallace
Olympus Has Fallen,"when the white house (secret service code: ""olympus"") is captured by a terrorist mastermind and the president is kidnapped, disgraced former presidential guard mike banning finds himself trapped within the building. as the national security team scrambles to respond, they are forced to rely on banning's inside knowledge to help retake the white house, save the president and avert an even bigger disaster. action thriller white house secret service terrorist attack gerard butler aaron eckhart angela bassett antoine fuqua"
Star Trek: Insurrection,"when an alien race and factions within starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon captain picard and the crew of the enterprise to defend the planet's people as well as the very ideals upon which the federation itself was founded. science fiction action adventure thriller space opera retribution spacecraft officer exploding ship patrick stewart jonathan frakes brent spiner jonathan frakes"
Battle: Los Angeles,"the earth is attacked by unknown forces. as people everywhere watch the world's great cities fall, los angeles becomes the last stand for mankind in a battle no one expected. it's up to a marine staff sergeant and his new platoon to draw a line in the sand as they take on an enemy unlike any they've ever encountered before. action science fiction saving the world hero marine corps chaos retirement survivor meteor space invasion alien battlefield survival sergeant los angeles battle danger escapade u.s. marine heroic mission evil alien chaos and mayham aaron eckhart ramón rodríguez will rothhaar jonathan liebesman"
Big Fish,"throughout his life edward bloom has always been a man of big appetites, enormous passions and tall tales. in his later years, he remains a huge mystery to his son, william. now, to get to know the real man, will begins piecing together a true picture of his father from flashbacks of his amazing adventures. adventure fantasy drama circus father son relationship witch fish fishing love of one's life leech story teller apoplectic stroke fair mermaid cancer relationship youth gentle giant ewan mcgregor albert finney billy crudup tim burton"
Wolf,publisher will randall becomes a werewolf and has to fight to keep his job. fantasy adultery heal bite werewolf jack nicholson christopher plummer james spader mike nichols
War Horse,"follows a young man named albert and his horse, joey, and how their bond is broken when joey is sold to the cavalry and sent to the trenches of world war one. despite being too young to enlist, albert heads to france to save his friend. drama war world war i horse farm life execution trapped alcoholic cavalry plowing artillery tom hiddleston benedict cumberbatch toby kebbell steven spielberg"
The Monuments Men,"based on the true story of the greatest treasure hunt in history, the monuments men is an action drama focusing on seven over-the-hill, out-of-shape museum directors, artists, architects, curators, and art historians who went to the front lines of wwii to rescue the world’s artistic masterpieces from nazi thieves and return them to their rightful owners.  with the art hidden behind enemy lines, how could these guys hope to succeed? war drama history action world war ii nazis art theft post world war ii matt damon cate blanchett george clooney george clooney"
The Abyss,"a civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. one diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it. adventure action thriller science fiction ocean sea diving suit flying saucer nuclear missile alien life-form insanity scuba diving underwater scuba deepsea trapped underwater  thalassophobia ed harris mary elizabeth mastrantonio michael biehn james cameron"
Wall Street: Money Never Sleeps,"as the global economy teeters on the brink of disaster, a young wall street trader partners with disgraced former wall street corporate raider gordon gekko on a two tiered mission: to alert the financial community to the coming doom, and to find out who was responsible for the death of the young trader's mentor. drama crime duringcreditsstinger michael douglas shia labeouf josh brolin oliver stone"
Dracula Untold,"vlad tepes is a great hero, but when he learns the sultan is preparing for battle and needs to form an army of 1,000 boys, including vlad's son, he vows to find a way to protect his family. vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire dracula. horror action drama fantasy war vampire dracula bite battle 15th century ottoman empire vlad fang vamp tepes luke evans sarah gadon dominic cooper gary shore"
The Siege,the secret us abduction of a suspected terrorist leads to a wave of terrorist attacks in new york that lead to the declaration of martial law. drama action thriller crime islam muslim car bomb fbi agent denzel washington annette bening bruce willis edward zwick
Stardust,"in a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. his journey takes him into a world beyond his wildest dreams and reveals his true identity. adventure fantasy romance family witch based on novel new love prince beauty star kingdom wall falling star royalty unrequited love good vs evil fratricide claire danes charlie cox michelle pfeiffer matthew vaughn"
Seven Years in Tibet,"austrian mountaineer, heinrich harrer journeys to the himalayas without his family to head an expedition in 1939. but when world war ii breaks out, the arrogant harrer falls into allied forces' hands as a prisoner of war. he escapes with a fellow detainee and makes his way to llaso, tibet, where he meets the 14-year-old dalai lama, whose friendship ultimately transforms his outlook on life. adventure drama history buddhism himalaya austria mountains buddhist monk world war ii prisoners of war monsoon tibet dalai lama mountaineer lhasa wedding brad pitt jamyang jamtsho wangchuk david thewlis jean-jacques annaud"
The Dilemma,"longtime friends ronny and nick are partners in an auto-design firm. they are hard at work on a presentation for a dream project that would really launch their company. then ronny spots nick's wife out with another man, and in the process of investigating the possible affair, he learns that nick has a few secrets of his own. as the presentation nears, ronny agonizes over what might happen if the truth gets out. comedy drama adultery infidelity secret investigation friendship partner love friends dilemma cheating on partner best friend kevin james vince vaughn winona ryder ron howard"
Bad Company,"when a harvard-educated cia agent is killed during an operation, the secret agency recruits his twin brother. action adventure comedy thriller ambush cia assassin nightclub hustler hidden camera decoy undercover agent twin brother deception betrayal mistaken identity shootout espionage foot chase car chase silencer surveillance agent impersonation langley virginia odd couple anthony hopkins chris rock peter stormare joel schumacher"
Doom,"a team of space marines known as the rapid response tactical squad, led by sarge, is sent to a science facility on mars after somebody reports a security breach. there, they learn that the alert came after a test subject, a mass murderer purposefully injected with alien dna, broke free and began killing people. dr. grimm, who is related to team member reaper, informs them all that the chromosome can mutate humans into monsters -- and is highly infectious. adventure action horror teleportation based on video game severed ear future war wisecrack humor commando mission dwayne johnson karl urban rosamund pike andrzej bartkowiak"
I Spy,"when the switchblade, the most sophisticated prototype stealth fighter created yet, is stolen from the u.s. government, one of the united states' top spies, alex scott, is called to action. what he doesn't expect is to get teamed up with a cocky civilian, world class boxing champion kelly robinson, on a dangerous top secret espionage mission. their assignment: using equal parts skill and humor, catch arnold gundars, one of the world's most successful arms dealers. action adventure comedy thriller budapest kidnapping boxer secret agent liberation of hostage hostage-taking woman director eddie murphy owen wilson famke janssen betty thomas"
Underworld: Awakening,"after being held in a coma-like state for fifteen years, vampire selene learns that she has a fourteen-year-old vampire/lycan hybrid daughter named nissa, and when she finds her, they must stop biocom from creating super lycans that will kill them all. fantasy action horror vampire daughter hybrid child vampire werewolf imax lab experiment werewolf child fang vamp kate beckinsale stephen rea michael ealy måns mårlind"
Rock of Ages,"a small town girl and a city boy meet on the sunset strip, while pursuing their hollywood dreams. comedy drama music romance musical rocker teenager young love rock sta julianne hough diego boneta tom cruise adam shankman"
Hart's War,"fourth-generation army col. william mcnamara is imprisoned in a brutal german pow camp. still, as the senior-ranking american officer, he commands his fellow inmates, keeping a sense of honor alive in a place where honor is easy to destroy, all under the dangerous eye of the luftwafe vetran col. wilhelm visser. never giving up the fight to win the war, mcnamara is silently planning, waiting for his moment to strike back at the enemy. a murder in the camp gives him the chance to set a risky plan in motion. with a court martial to keep visser and the germans distracted, mcnamara orchestrates a cunning scheme to escape and destroy a nearby munitions plant, enlisting the unwitting help of young lt. tommy hart. together with his men, mcnamara uses a hero's resolve to carry out his mission, ultimately forced to weigh the value of his life against the good of his country. drama war black people world war ii prisoners of war u.s. army war escape tribunal trial soldier military tribunal xenophobia bruce willis colin farrell terrence howard gregory hoblit"
Killer Elite,"based on a shocking true story, killer elite pits two of the world’s most elite operatives—danny, an ex-special ops agent and hunter, his longtime mentor—against the cunning leader of a secret military society. covering the globe from australia to paris, london and the middle east, danny and hunter are plunged into a highly dangerous game of cat and mouse—where the predators become the prey. action adventure thriller rescue jason statham clive owen robert de niro gary mckendry"
Rollerball,"from the director of die hard comes this high-octane thriller that roars along at a breakneck pace (los angeles times)! starring chris klein (american pie), jean reno (ronin), ll cool j (charlie's angels) and rebecca romijn-stamos (x-men), rollerball goes full-throttle with excitement from its death-defying opening until its explosive end! jonathan cross (klein) is the newest recruit in the most extreme sport of all time where his fast moves and killer looks make him an instant superstar. but cross life in the fast lane collides with reality when he learns that the league's owner (reno) is orchestrating serious on-court accidents to boost ratings. now cross plans to take down the owner and his ruthless sport before the game puts an end to him! action science fiction thriller manager arena dystopia wrestling sport roller-skating motorcycle racing rollerskating future sport chris klein ll cool j rebecca romijn john mctiernan"
Ballistic: Ecks vs. Sever,"jonathan ecks, an fbi agent, realizes that he must join with his lifelong enemy, agent sever, a rogue dia agent with whom he is in mortal combat, in order to defeat a common enemy. that enemy has developed a ""micro-device"" that can be injected into victims in order to kill them at will. action adventure thriller loss of family enemy adversary agent antonio banderas lucy liu gregg henry wych kaosayananda"
Hard Rain,"get swept up in the action as an armored car driver (christian slater) tries to elude a gang of thieves (led by morgan freeman) while a flood ravages the countryside. hard rain is ""a wild, thrilling, chilling action ride"" filled with close calls, uncertain loyalties and heart-stopping heroics. thriller sheriff rain evacuation armored car crook hoodlum morgan freeman christian slater randy quaid mikael salomon"
Osmosis Jones,"a policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, frank. adventure animation action comedy family cold flu lethal virus construction worker chris rock laurence fishburne david hyde pierce bobby farrelly"
Legends of Oz: Dorothy's Return,"dorothy wakes up in post-tornado kansas, only to be whisked back to oz to try to save her old friends the scarecrow, the lion, the tin man and glinda from a devious new villain, the jester. wiser the owl, marshal mallow, china princess and tugg the tugboat join dorothy on her latest magical journey through the colorful landscape of oz to restore order and happiness to emerald city. animation music family  lea michele dan aykroyd patrick stewart dan st. pierre"
Blackhat,a man is released from prison to help american and chinese authorities pursue a mysterious cyber criminal. the dangerous search leads them from chicago to hong kong. crime drama mystery terrorist technology anti hero hacker computer virus national security agency (nsa) race against time computer malaysia nuclear power plant suspense betrayal conspiracy on the run fugitive shootout hacking terrorism cat and mouse one against many computer hacker no opening credits terrorist plot stock exchange cybercrime cyber terrorism chinese military cyber terrorist cyber thriller chris hemsworth leehom wang tang wei michael mann
Sky Captain and the World of Tomorrow,"when gigantic robots attack new york city, ""sky captain"" uses his private air force to fight them off. his ex-girlfriend, reporter polly perkins, has been investigating the recent disappearance of prominent scientists. suspecting a link between the global robot attacks and missing men, sky captain and polly decide to work together. they fly to the himalayas in pursuit of the mysterious dr. totenkopf, the mastermind behind the robots. mystery action thriller science fiction adventure london england himalaya journalist killer robot computer war robot jude law gwyneth paltrow giovanni ribisi kerry conran"
Basic Instinct 2,"novelist catherine tramell is once again in trouble with the law, and scotland yard appoints psychiatrist dr. michael glass to evaluate her. though, like detective nick curran before him, glass is entranced by tramell and lured into a seductive game. crime mystery thriller male nudity sex legs soho london playing god jacuzzi sharon stone david morrissey charlotte rampling michael caton-jones"
Escape Plan,"ray breslin is the world's foremost authority on structural security. after analyzing every high security prison and learning a vast array of survival skills so he can design escape-proof prisons, his skills are put to the test. he's framed and incarcerated in a master prison he designed himself. he needs to escape and find the person who put him behind bars. action thriller prison muslim ship mystery science fiction escape crime prison escape cia agent sylvester stallone arnold schwarzenegger jim caviezel mikael håfström"
The Legend of Hercules,"in ancient greece 1200 b.c., a queen succumbs to the lust of zeus to bear a son promised to overthrow the tyrannical rule of the king and restore peace to a land in hardship. but this prince, hercules, knows nothing of his real identity or his destiny. he desires only one thing: the love of hebe, princess of crete, who has been promised to his own brother. when hercules learns of his greater purpose, he must choose: to flee with his true love or to fulfill his destiny and become the true hero of his time. the story behind one of the greatest myths is revealed in this action-packed epic - a tale of love, sacrifice and the strength of the human spirit. action adventure mythology zeus ancient greece demigod city of argos mistaken parentage kellan lutz liam mcintyre gaia weiss renny harlin"
The Sum of All Fears,"when the president of russia suddenly dies, a man whose politics are virtually unknown succeeds him. the change in political leaders sparks paranoia among american cia officials, so cia director bill cabot recruits a young analyst to supply insight and advice on the situation. then the unthinkable happens: a nuclear bomb explodes in a u.s. city, and america is quick to blame the russians. thriller action drama cia terrorist atomic bomb cold war nuclear explosion jack ryan ben affleck morgan freeman james cromwell phil alden robinson"
The Twilight Saga: Eclipse,"bella once again finds herself surrounded by danger as seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. in the midst of it all, she is forced to choose between her love for edward and her friendship with jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. with her graduation quickly approaching, bella is confronted with the most important decision of her life. adventure fantasy drama romance vampire graduation bite immortality werewolf fang vamp kristen stewart robert pattinson taylor lautner david slade"
The Score,an aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist. action crime thriller quebec jewel scepter customs house jewelry heist blueprint assumed identity schematic voice over surveillance camera one last job robert de niro edward norton marlon brando frank oz
Despicable Me,"villainous gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. but he has a tough time staying on task after three orphans land in his care. animation family adoptive father orphanage life's dream rivalry stealing ballet little girl orphan father daughter relationship tomboy mother son relationship intelligent kids evil doctor duringcreditsstinger minions supervillain 3d despicable cattivissimo steve carell jason segel russell brand pierre coffin"
Money Train,"a vengeful new york transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him. action comedy crime brother brother relationship subway new york city new york subway train robbery wesley snipes woody harrelson jennifer lopez joseph ruben"
Ted 2,"newlywed couple ted and tami-lynn want to have a baby, but in order to qualify to be a parent, ted will have to prove he's a person in a court of law. comedy sperm bank sequel buddy courthouse teddy bear aftercreditsstinger toy comes to life married mark wahlberg seth macfarlane amanda seyfried seth macfarlane"
Agora,"a historical drama set in roman egypt, concerning philosopher hypatia of alexandria and her relationship with her slave davus, who is torn between his love for her and the possibility of gaining his freedom by joining the rising tide of christianity. adventure drama history christianity philosophy egypt new love war cult historical figure history sword fight ancient world destiny fall in love hypatia misogyny persecution library of alexandria political unrest impossible love false history power relations unfulfillment master and servant love and romance unfulfilled love rachel weisz max minghella oscar isaac alejandro amenábar"
Mystery Men,"when captain amazing (kinnear) is kidnapped by casanova frankenstein (rush) a group of superheroes combine together to create a plan. but these aren't normal superheroes. now, the group who include such heroes as mr. furious (stiller), the shoveller (macy) and the blue raja (azaria) must put all the powers together to save everyone they know and love. adventure fantasy action comedy science fiction bowling hostage sphinx training insane asylum tools frankenstein casanova superhero based on comic book independent film comedy spoof skull shovel disco superhero spoof invisible man dark horse comics invisibility rajah bowling ball spleen evil genius ben stiller geoffrey rush claire forlani kinka usher"
Hall Pass,"when best buds rick and fred begin to show signs of restlessness at home, their wives take a bold approach to revitalize their marriages: they grant the guys a ""hall pass"", one week of freedom to do whatever they want. at first, it seems like a dream come true, but they quickly discover that their expectations of the single life - and themselves - are completely and hilariously out of sync with reality. comedy wife husband relationship daydream marriage freedom friends owen wilson jason sudeikis jenna fischer bobby farrelly"
The Insider,"tells the true story of a 60 minutes television series exposé of the tobacco industry, as seen through the eyes of a real tobacco executive, jeffrey wigand drama thriller spy newspaper research interview tobacco insider conspiracy theory reporter whistleblower columbia broadcasting system (cbs) tobacco industry al pacino russell crowe christopher plummer michael mann"
The Finest Hours,the coast guard makes a daring rescue attempt off the coast of cape cod after a pair of oil tankers are destroyed during a blizzard in 1952. action drama history thriller coast guard based on true story survival rescue mission storm at sea sinking ship 1950s 3d chris pine casey affleck ben foster craig gillespie
Body of Lies,"the cia’s hunt is on for the mastermind of a wave of terrorist attacks. roger ferris is the agency’s man on the ground, moving from place to place, scrambling to stay ahead of ever-shifting events. an eye in the sky – a satellite link – watches ferris.  at the other end of that real-time link is the cia’s ed hoffman, strategizing events from thousands of miles away. and as ferris nears the target, he discovers trust can be just as dangerous as it is necessary for survival. action drama thriller terror falsely accused based on novel dying and death jordan dubai intelligence agency beating leonardo dicaprio russell crowe mark strong ridley scott"
Dinner for Schmucks,"rising executive tim wagner works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career-boost. tim plans on not attending until he meets barry, a man who builds dioramas using stuffed mice. barry's blundering but good intentions send tim's life into a downward spiral, threatening a major business deal and possibly scuttling tim's engagement to his fiancee. comedy mouse idiot mind control taxidermy aftercreditsstinger duringcreditsstinger steve carell paul rudd stephanie szostak jay roach"
Abraham Lincoln: Vampire Hunter,"president lincoln's mother is killed by a supernatural creature, which fuels his passion to crush vampires and their slave-owning helpers. action fantasy horror usa president vampire steam locomotive american civil war 19th century abraham lincoln 3d benjamin walker dominic cooper anthony mackie timur bekmambetov"
Entrapment,"two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love. romance drama mystery london england new year's eve skyscraper burglar distrust undercover blackmail nudity thief heist older man younger woman relationship art thief criminal art theft millennium manhattan, new york city gala kuala lumpur malaysia sean connery catherine zeta-jones will patton jon amiel"
The X Files,"mulder and scully, now taken off the fbi's x files cases, must find a way to fight the shadowy elements of the government to find out the truth about a conspiracy that might mean the alien colonization of earth. mystery science fiction thriller bomb helicopter secret obsession extraterrestrial technology fbi space marine mutation secret society secret organization secret lab x-files government david duchovny gillian anderson mitch pileggi rob bowman"
The Last Legion,"as the roman empire crumbles, young romulus augustus flees the city and embarks on a perilous voyage to britain to track down a legion of supporters. action adventure fantasy war roman empire emperor ancient rome western roman empire ancient world julius caesar colin firth ben kingsley aishwarya rai bachchan doug lefler"
Saving Private Ryan,"as u.s. troops storm the beaches of normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. ranger captain john miller and seven men are tasked with penetrating german-held territory and bringing the boy home. drama history war war crimes self sacrifice war veteran world war ii war ship airplane bravery normandy parachute troops waffen ss omaha beach army cowardice american flag war memorial deserted town military 1940s tom hanks matt damon vin diesel steven spielberg"
Need for Speed,"the film revolves around a local street-racer who partners with a rich and arrogant business associate, only to find himself framed by his colleague and sent to prison. after he gets out, he joins a new york-to-los angeles race to get revenge. but when the ex-partner learns of the scheme, he puts a massive bounty on the racer's head, forcing him to run a cross-country gauntlet of illegal racers in all manner of supercharged vehicles. action crime drama thriller street race super cars super speed car based on video game duringcreditsstinger 3d aaron paul dominic cooper imogen poots scott waugh"
What Women Want,"advertising executive nick marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against darcy, his new boss, who seems to be infatuated with him. comedy romance women telepathy supernatural powers advertising executive woman director helen hunt mel gibson marisa tomei nancy meyers"
Ice Age,"with the impending ice age almost upon them, a mismatched trio of prehistoric critters – manny the woolly mammoth, diego the saber-toothed tiger and sid the giant sloth – find an orphaned infant and decide to return it to its human parents. along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims. animation comedy family adventure human evolution parents kids relationship squirrel ice loss of child mammoth sloth dying and death stone age prehistoric saber-toothed tiger cavemen prehistoric creature prehistoric adventure prehistoric times prehistoric man ray romano john leguizamo denis leary chris wedge"
Dreamcatcher,"four boyhood pals perform a heroic act and are changed by the powers they gain in return. years later, on a hunting trip in the maine woods, they're overtaken by a vicious blizzard that harbors an ominous presence. challenged to stop an alien force, the friends must first prevent the slaughter of innocent civilians by a military vigilante ... and then overcome a threat to the bond that unites the four of them. drama horror science fiction thriller religion and supernatural morgan freeman thomas jane jason lee lawrence kasdan"
Lincoln,"a revealing drama that focuses on the 16th president's tumultuous final months in office. in a nation divided by war and the strong winds of change, lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. with the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come. history drama usa president speech battlefield family conflict mourning american civil war cultural conflict based on true events battle of gettysburg secession presidential cabinet gettysburg address conflagration ethical dilemma emancipation abraham lincoln daniel day-lewis sally field david strathairn steven spielberg"
The Matrix,"set in the 22nd century, the matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth. action science fiction saving the world artificial intelligence man vs machine philosophy prophecy martial arts self sacrifice fight insurgence virtual reality dystopia truth cyberpunk woman director messiah gnosticism keanu reeves laurence fishburne carrie-anne moss lilly wachowski"
Apollo 13,"the true story of technical troubles that scuttle the apollo 13 lunar mission in 1971, risking the lives of astronaut jim lovell and his crew, with the failed journey turning into a thrilling saga of heroism. drifting more than 200,000 miles from earth, the astronauts work furiously with the ground crew to avert tragedy. drama moon florida nasa spaceman race against time houston based on true story space rescue survival disaster explosion astronaut imax saturn v rocket courage hypothermia apollo program cape kennedy lunar mission spacecraft accident tom hanks bill paxton kevin bacon ron howard"
The Santa Clause 2,"better watch out! the big guy in red is coming to town once again. this time, scott calvin -- also known as santa claus -- finds out there's an obscure clause in his contract requiring him to take on a wife. he has to leave the north pole to fulfill his obligations, or else he'll be forced to give up his yuletide gig. fantasy comedy family holiday christmas party home santa claus magic toy wish son sequel saving christmas christmas tim allen elizabeth mitchell david krumholtz michael lembeck"
Les Misérables,"an adaptation of the successful stage musical based on victor hugo's classic novel set in 19th-century france, in which a paroled prisoner named jean valjean seeks redemption. drama music romance france robbery brothel mayor star musical arrest army rebellion wedding falling in love corpse parole convict girl disguised as boy hugh jackman russell crowe anne hathaway tom hooper"
You've Got Mail,"book superstore magnate, joe fox and independent book shop owner, kathleen kelly fall in love in the anonymity of the internet – both blissfully unaware that he's putting her out of business. comedy romance romantic comedy online dating woman director tom hanks meg ryan katie sagona nora ephron"
Step Brothers,"brennan huff and dale doback might be grown men. but that doesn't stop them from living at home and turning into jealous, competitive stepbrothers when their single parents marry. brennan's constant competition with dale strains his mom's marriage to dale's dad, leaving everyone to wonder whether they'll ever see eye to eye. comedy becoming an adult autonomy childhood trauma hostility step brother slacker man child aftercreditsstinger duringcreditsstinger will ferrell john c. reilly mary steenburgen adam mckay"
The Mask of Zorro,"it has been twenty years since don diego de la vega fought spanish oppression in alta california as the legendary romantic hero, zorro. having escaped from prison he transforms troubled bandit alejandro into his successor, in order to foil the plans of the tyrannical don rafael montero who robbed him of his freedom, his wife and his precious daughter. action adventure california spy hero horseback riding sword fight revenge antonio banderas anthony hopkins catherine zeta-jones martin campbell"
Due Date,"peter highman must scramble across the us in five days to be present for the birth of his first child. he gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. peter embarks on a terrifying journey when he accepts a ride from an actor. comedy drama highway slacker hitchhiker wallet sunglasses rest stop vicodin waffle robert downey jr. zach galifianakis michelle monaghan todd phillips"
Unbroken,"a chronicle of the life of louis zamperini, an olympic runner who was taken prisoner by japanese forces during world war ii. drama war world war ii prisoners of war biography sport war athlete woman director olympic athlete jack o'connell domhnall gleeson garrett hedlund angelina jolie"
Space Cowboys,"frank corvin, ‘hawk’ hawkins, jerry o'neill and ‘tank’ sullivan were hotdog members of project daedalus, the air force's test program for space travel, but their hopes were dashed in 1958 with the formation of nasa and the use of trained chimps. they blackmail their way into orbit when russia's mysterious ‘ikon’ communications satellite's orbit begins to degrade and threatens to crash to earth. action adventure thriller nasa space travel astronaut elderly clint eastwood tommy lee jones donald sutherland clint eastwood"
Cliffhanger,"a year after losing his friend in a tragic 4,000-foot fall, former ranger gabe walker and his partner, hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money. action adventure thriller rocky mountains airplane hijacking suitcase climbing heist money snow mountain climbing mountain sylvester stallone john lithgow michael rooker renny harlin"
Broken Arrow,"when rogue stealth-fighter pilot vic deakins deliberately drops off the radar while on maneuvers, the air force ends up with two stolen nuclear warheads -- and deakins's co-pilot, riley hale, is the military's only hope for getting them back. traversing the deserted canyons of utah, hale teams with park ranger terry carmichael to put deakins back in his box. action adventure drama thriller helicopter river captain underground mexican standoff countdown pilot fistfight canyon major betrayal gunfight train explosion park ranger desert military nuclear device boxing stealth aircraft abandoned mine humvee john travolta christian slater samantha mathis john woo"
